id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_elevation_ft,le_heading_degT,he_ident,he_elevation_ft,he_heading_degT
244278,18745,K3U7,6000,100,ASP,12,,137,30,,317
245341,18746,K3U8,3600,60,ASP,6,,78,24,,258
245342,18746,K3U8,2975,50,GRS,13,,150,31,,330
245343,18746,K3U8,1430,55,TURF-G,18,,186,36,,6
243826,18747,K3V0,4000,50,ASP,15,3980,158,33,3900,338
242198,18748,K3V5,5326,44,ASPH,11,4939,128.5,29,4922,308.5
242199,18748,K3V5,3400,50,GRS,11L,,129.5,29R,,309.5
241448,18749,K3V7,3770,50,ASP,8,,98,26,,278
241459,18750,K3W7,4199,75,ASP,3,1588,51,21,1588,231
243027,18751,K3W8,2100,150,GRS,7,1930,82,25,1924,262
243028,18751,K3W8,3100,60,ASP,12,1923,136.4,30,1934,316.4
241642,18753,K3Y2,4248,50,CON,17,1232,172.7,35,1195,352.7
241333,18754,K3Y3,3000,50,ASP,14,1110,141.8,32,1093,321.8
251227,18755,K40,2000,500,WATER,E,,,W,,
239742,18756,K40G,4199,45,ASP,1,5999,21,19,5989,201
240254,18757,K40J,4378,150,ASP,6,42,60,24,44,240
240255,18757,K40J,4754,150,ASP,12,43,121,30,45,301
240256,18757,K40J,4986,100,ASP,18,43,181,36,41,1
245888,18759,K40U,5300,60,ASP,7,6175,82.7,25,,262.7
240871,18760,K41A,3207,75,ASP,13,,134,31,,314
241103,18761,K41F,4600,60,ASP,17,3183,177.6,35,,357.6
244232,18762,K41N,3000,30,ASP,1,,351.6,19,,171.6
240557,18763,K41U,4584,75,ASP,3,5470,45.4,21,5509,225.4
243024,18764,K42A,4003,75,ASP,3,733,32,21,706,212
240483,18765,K42I,3100,26,ASP,10,,92.9,28,,272.9
244321,18766,K42J,5044,100,ASPH-G,5,176,45,23,196,225
244322,18766,K42J,4899,75,ASPH-G,11,186,105,29,196,285
244323,18766,K42J,4400,150,ASP,16,,164,34,,344
239935,18767,K42M,4200,49,ASP,9,,90,27,,270
245868,18768,K42S,3030,60,ASP,9,2005,105,27,2002,285
241589,18769,K42U,3904,50,ASP,3,,46.9,21,,226.9
240291,18770,K42V,3500,25,CON,15,,150,33,,330
251362,18771,K43,2805,49,ASPH-G,17,,,35,,
244657,18772,K43A,3500,60,ASP,3,,23,21,,203
241062,18773,K43B,3520,75,ASP,15,216,135,33,209,315
243764,18774,K43D,3125,60,ASP,2,,29,20,,209
242606,18775,K43U,4260,60,ASP,2,,37.7,20,,217.7
240191,18776,K44C,3300,50,ASP,7,803,64,25,816,244
244668,18778,K44N,3828,60,ASP,17,,153,35,,333
242838,18779,K44U,3855,60,ASP,2,,37.3,20,,217.3
240183,18780,K45G,3120,24,ASP,4,969,38.5,22,973,218.5
245314,18781,K45K,3970,20,ASP,16,,166,34,,346
241485,18782,K45R,4302,75,ASP,13,69,139.7,31,65,319.7
239890,18784,K46D,2255,43,ASP,3,,37,21,,217
239891,18784,K46D,4200,75,ASP,13,1605,140,31,1604,320
241490,18785,K46U,5625,35,ASP,13,,143.5,31,,323.5
241326,18786,K47A,3412,75,ASP,4,1206,41.8,22,1215,221.8
243845,18787,K47K,3405,50,ASP,17,1489,170,35,1488,350
240613,18788,K47N,3509,50,ASP,7,86,55.7,25,64,235.7
241210,18789,K47V,3400,60,ASP,12,2677,128.3,30,,308.4
241211,18789,K47V,2200,290,GRS,17,,177.5,35,,357.5
242652,18790,K48A,3202,50,ASP,5,324,46,23,333,226
240181,18791,K48D,3500,75,ASP,4,826,31.8,22,857,211.8
240182,18791,K48D,2500,75,ASP,9,,84,27,,264
241113,18792,K48I,3995,60,ASP,2,1256,16,20,1276,196
244144,18793,K48K,3156,48,ASP,17,2308,180,35,2281,360
241464,18794,K48S,4100,60,ASP,11,2643,125,29,2600,305
241465,18794,K48S,1942,120,GRS,15,,174,33,,354
245876,18796,K49A,3507,75,ASP,3,1458,27,21,1486,207
242448,18797,K49B,5100,60,ASP,11,3243,113,29,3207,293
244409,18799,K49R,3975,50,ASP,15,1640,156.3,33,1615,336.3
243778,18800,K49X,5000,75,ASP,16,631,180,34,631,360
244274,18801,K4A0,3000,40,ASP,11,,109.4,29,,289.4
244096,18802,K4A4,4004,75,ASP,9,971,97,27,954,277
240257,18803,K4A5,4003,75,ASP,5,923,52,23,963,232
240963,18804,K4A6,5250,80,ASPH-G,4,650,37,22,630,217
240422,18805,K4A7,5500,75,ASP,6,852,54,24,882,234
242311,18806,K4A9,5001,100,ASP,4,856,40,22,873,220
242132,18807,K4B6,4040,60,ASP,2,273,2,20,265,182
243357,18808,K4B7,3000,60,ASP,16,,146,34,,326
243766,18809,K4B8,3612,75,ASP,2,,19.3,20,,199.3
240044,18810,K4C8,3400,60,ASP,13,958,129,31,964,309
239962,18811,K4D0,3200,75,ASP,9,830,86,27,840,266
239963,18811,K4D0,2580,120,GRS,18,830,180,36,830,360
240558,18812,K4E7,3500,60,ASP,13,1455,142.3,31,,322.4
240559,18812,K4E7,2600,50,GRS,17,,180,35,,360
240781,18813,K4F2,4000,75,ASP,17,244,177.8,35,248,357.8
245916,18814,K4F7,3464,50,ASPH-G,18,319,182,36,308,2
241839,18815,K4F8,3000,50,ASP,2,230,17.5,20,193,197.5
240003,18816,K4F9,3750,50,ASP,16,1310,166,34,1305,346
245185,18817,K4G4,4012,50,ASP,10,1012,90.4,28,1069,270.4
240594,18818,K4G5,3805,75,ASP,7,1194,66,25,1190,246
242462,18819,K4G6,5000,75,ASP,18,1192,164.7,36,1192,344.7
240480,18820,K4G8,2580,85,GRE,2,,12.4,20,,192.4
240482,18820,K4G8,2947,65,GRE,18L,807,181.6,36R,810,1.6
240481,18820,K4G8,3152,40,ASP,18R,810,181.2,36L,810,1.2
